uid,complexity
0019/00191091,12
0055/00555487,2
0027/00279303,1
0083/00835126,2
0026/00263564,12
0082/00824736,32
0062/00628600,13
0037/00373394,22
0061/00619973,23
0055/00554017,4
0053/00537528,6
0039/00390989,2
0033/00335037,2
0052/00528853,6
0059/00598071,8
0012/00123268,12
0089/00892939,1
0069/00691329,2
0062/00620744,14
0032/00321195,12
0030/00302408,6
0081/00819353,13
0046/00468800,6
0049/00497036,21
0072/00723213,4
0074/00746158,4
0071/00711354,2
0007/00077633,8
0048/00486284,22
0069/00696176,5
0001/00017562,17
0072/00728147,1
0090/00900345,7
0032/00326198,2
0041/00413492,1
0084/00848570,8
0074/00748330,7
0029/00296103,4
0064/00644007,4
0015/00155933,12
0040/00400669,4
0011/00110248,4
0021/00219944,9
0059/00590526,28
0055/00559283,16
0037/00377242,3
0016/00166992,1
0096/00966201,17
0042/00424103,10
0076/00764181,4
0090/00900206,4
0051/00518790,4
0061/00614291,10
0094/00946765,16
0035/00356729,6
0074/00742188,8
0044/00449849,4
0073/00737389,7
0074/00743648,1
0084/00843071,4
0041/00419632,3
0018/00183091,13
0056/00569443,9
0074/00743043,4
0043/00431147,17
0075/00756776,1
0045/00458936,8
0033/00333998,2
0076/00762237,20
0033/00330662,4
0044/00442125,1
0009/00090030,5
0067/00675992,6
0027/00276748,2
0029/00293854,1
0053/00536468,4
0096/00964001,9
0058/00587611,2
0046/00461912,12
0068/00689612,7
0041/00415506,4
0039/00399729,8
0073/00737511,4
0007/00079614,18
0047/00479410,9
0068/00684764,4
0065/00655104,4
0004/00048325,1
0078/00782963,2
0040/00403971,7
0047/00478745,1
0015/00151484,8
0038/00381068,8
0073/00730053,1
0006/00067924,2
0043/00435097,1
0069/00693541,10
0068/00689151,10
0043/00439455,4
0045/00452442,4
0051/00513897,13
0098/00981029,34
0056/00564767,2
0015/00150217,2
0037/00376228,16
0023/00235208,4
0073/00738835,4
0096/00960504,1
0090/00902291,2
0058/00582574,15
0030/00307295,10
0008/00080726,4
0069/00696380,5
0015/00152077,1
0046/00466316,6
0066/00664873,8
0014/00141106,4
0051/00514338,1
0070/00703079,4
0052/00523141,1
0026/00266321,4
0030/00303391,8
0075/00758678,4
0009/00099073,8
0052/00525501,2
0045/00452745,2
0008/00089842,20
0084/00841134,6
0015/00159183,4
0005/00050504,4
0041/00415955,5
0019/00198536,4
0052/00526551,4
0030/00302537,7
0054/00544101,36
0066/00665812,1
0076/00763657,15
0059/00594194,6
0040/00402826,8
0050/00504143,1
0099/00997065,16
0051/00519775,6
0020/00209254,9
0029/00294509,4
0028/00289853,4
0012/00128016,4
0019/00196715,18
0026/00266723,4
0016/00161428,7
0008/00085756,2
0027/00271614,21
0007/00075743,13
0029/00293353,4
0094/00942553,1
0059/00592048,16
0042/00426837,4
0062/00623202,2
0034/00340274,5
0035/00359201,12
0033/00333656,18
0022/00221760,1
0059/00593692,8
0006/00064296,4
0026/00266916,4
0028/00286357,14
0025/00253105,20
0077/00775263,1
0034/00344329,4
0008/00080067,4
0098/00984147,4
0024/00240625,4
0030/00303689,9
0068/00682026,8
0010/00102081,10
0063/00631997,1
0098/00981708,12
0013/00139014,5
0039/00394407,4
0025/00257413,6
0018/00186324,6
0022/00229218,22
0059/00590401,12
0026/00269325,4
0047/00473692,7
0018/00187313,4
0062/00625065,5
0086/00868388,4
0069/00697521,4
0070/00707662,5
0013/00138077,21
0082/00821407,2
0002/00028955,1
0018/00182707,6
0082/00822100,1
0014/00149581,2
0025/00254794,20
0079/00798248,8
0061/00615120,12
0053/00530247,8
0006/00062190,8
0010/00100323,10
0072/00726319,24
0085/00859312,8
0058/00582654,7
0042/00422323,9
0002/00027206,8
0034/00345375,4
0038/00384125,28
0098/00986610,32
0030/00305050,5
0048/00486554,10
0037/00374949,1
0035/00354546,16
0034/00349911,4
0031/00313845,12
0003/00032886,8
0034/00341651,1
0017/00174856,13
0062/00622082,21
0049/00497942,1
0046/00469833,10
0044/00442340,5
0017/00174259,5
0088/00882581,4
0079/00793608,4
0010/00103542,4
0044/00448758,10
0035/00352410,4
0049/00495115,4
0002/00026903,4
0002/00023507,6
0028/00280572,35
0034/00340269,4
0087/00874577,16
0077/00777554,2
0055/00553536,36
0023/00230438,28
0087/00871184,12
0005/00056642,4
0000/00005116,26
0015/00158452,2
0020/00203333,8
0079/00793845,1
0032/00326311,2
0001/00010608,1
0095/00950275,22
0085/00851676,24
0084/00843170,6
0027/00275409,13
0045/00452010,1
0006/00069499,2
0006/00065334,6
0070/00707856,4
0031/00315820,10
0009/00099392,1
0029/00298887,6
0084/00845382,5
0095/00953651,23
0095/00951037,8
0016/00163966,20
0046/00466304,4
0016/00161826,10
0016/00169455,4
0050/00500296,6
0059/00599235,1
0038/00385527,8
0082/00827243,4
0095/00950702,4
0085/00852992,5
0049/00490308,5
0033/00335696,1
0026/00262239,16
0097/00972518,8
0095/00955050,9
0089/00892558,4
0005/00051131,23
0094/00945754,8
0014/00144671,8
0092/00920256,3
0085/00852442,13
0082/00826901,12
0065/00654152,28
0053/00537819,8
0028/00284017,4
0041/00418053,4
0067/00676059,7
0028/00285320,3
0047/00477987,32
0030/00304395,1
0098/00987676,4
0060/00605561,28
0031/00310982,1
0009/00097045,6
0029/00299288,2
0071/00713898,4
0081/00818761,4
0060/00605830,4
0006/00060334,5
0038/00384642,14
0099/00995884,4
0068/00689191,14
0042/00422320,8
0064/00647081,14
0053/00532997,26
0014/00145432,12
0039/00390990,4
0099/00993550,8
0028/00287788,14
0027/00277142,3
0031/00319283,8
0091/00918715,4
0048/00489720,7
0054/00540183,6
0017/00175763,23
0008/00086848,4
0048/00480685,2
0095/00951189,4
0048/00481132,6
0011/00114533,2
0034/00343788,2
0015/00150444,5
0066/00660971,4
0067/00675619,12
0007/00077196,1
0058/00580100,2
0059/00590051,6
0093/00937785,3
0058/00581221,6
0007/00078947,1
0046/00460475,7
0005/00053775,2
0087/00875000,2
0029/00291778,4
0092/00924241,4
0020/00200301,6
0041/00412098,12
0017/00174070,2
0003/00032964,8
0013/00133242,8
0075/00759410,1
0078/00787493,8
0069/00693788,6
0001/00017746,2
0003/00031638,29
0052/00520940,12
0056/00563313,8
0060/00606656,32
0007/00079150,4
0033/00333559,13
0052/00523707,4
0037/00378355,11
0068/00683073,8
0067/00676991,4
0004/00044318,6
0064/00649841,7
0086/00869051,4
0042/00426313,4
0048/00487440,8
0029/00295360,12
0076/00762223,35
0086/00860171,12
0013/00138918,16
0037/00379076,26
0056/00569679,6
0006/00063403,7
0048/00484515,4
0010/00101519,4
0006/00066990,1
0069/00695836,1
0070/00700736,4
0081/00819831,8
0066/00661616,12
0045/00453091,9
0024/00240615,4
0056/00569684,4
0020/00202872,8
0098/00987938,4
0049/00493673,5
0080/00803579,4
0090/00902026,4
0021/00214321,28
0036/00366997,16
0056/00561819,8
0077/00770049,14
0005/00059938,4
0086/00860845,20
0067/00677722,2
0071/00710462,8
0039/00392597,5
0071/00718074,12
0017/00172962,7
0018/00181229,6
0002/00025579,31
0094/00942234,4
0090/00903194,2
0082/00821611,4
0017/00176117,6
0098/00980925,2
0017/00173189,10
0065/00651776,1
0076/00761170,6
0091/00913029,1
0060/00608286,4
0034/00340425,14
0024/00246026,15
0092/00924444,5
0071/00715179,6
0080/00800212,8
0051/00518905,5
0074/00746490,4
0082/00829334,2
0000/00007126,2
0091/00918789,12
0098/00983378,4
0042/00421616,8
0036/00365363,2
0033/00336658,5
0086/00864209,12
0033/00330070,4
0074/00742760,6
0052/00526320,2
0010/00109038,1
0072/00722688,6
0055/00558684,4
0026/00267792,1
0000/00003803,4
0070/00703257,23
0090/00900343,8
0069/00697383,1
0028/00281399,4
0070/00709474,20
0090/00908334,8
0053/00530107,3
0001/00015813,2
0084/00843169,6
0027/00272858,8
0076/00764220,7
0057/00576808,5
0030/00300796,12
0051/00511075,30
0072/00725416,7
0073/00737476,15
0029/00297342,10
0080/00806216,4
0099/00991543,5
0060/00604539,12
0002/00021680,1
0039/00393953,8
0076/00767996,4
0099/00992530,6
0084/00845177,18
0028/00280239,8
0003/00037131,12
0072/00724218,17
0041/00415051,4
0058/00581148,1
0007/00072876,4
0023/00234810,9
0063/00639734,6
0083/00835114,6
0053/00534911,9
0048/00489234,8
0070/00700368,8
0076/00767380,6
0071/00714136,6
0009/00093021,5
0027/00270853,8
0016/00163844,10
0011/00111621,31
0037/00375842,4
0057/00577076,2
0070/00707399,4
0082/00826981,27
0002/00026080,4
0050/00501722,16
0026/00264447,24
0035/00359144,8
0060/00606788,8
0056/00566495,6
0019/00197285,2
0020/00209923,4
0009/00093068,4
0053/00531413,14
0022/00221703,4
0000/00008327,22
0071/00718793,25
0071/00713716,2
0014/00145728,1
0034/00347870,4
0019/00190618,12
0052/00523760,4
0027/00271248,4
0074/00747318,14
0021/00219372,12
0061/00616667,4
0046/00460844,27
0000/00005600,4
0088/00881832,4
0029/00290477,2
0090/00908201,2
0071/00714318,4
0015/00150889,5
0004/00041873,8
0083/00837324,1
0043/00430049,34
0063/00630498,14
0025/00251806,12
0038/00386848,3
0060/00601430,29
0096/00969121,4
0063/00635659,15
0006/00069042,10
0058/00583632,21
0091/00919064,10
0041/00418829,8
0010/00103634,17
0076/00760148,10
0067/00677143,2
0000/00009722,8
0041/00419701,8
0065/00653608,24
0034/00342882,12
0042/00427132,11
0022/00221763,1
0035/00359507,31
0041/00413551,4
0012/00121289,4
0008/00081346,4
0023/00232708,32
0087/00878288,4
0021/00214390,18
0079/00795330,9
0091/00913738,1
0073/00734075,4
0096/00962572,1
0031/00310966,16
0072/00723481,4
0016/00163681,16
0025/00258029,17
0017/00178027,24
0029/00293470,1
0047/00472818,4
0030/00300459,1
0066/00663366,4
0027/00271329,11
0012/00129068,1
0038/00388858,12
0071/00719130,4
0088/00888905,4
0021/00217060,8
0006/00063414,1
0053/00537504,6
0044/00440492,4
0084/00840553,22
0036/00366373,32
0090/00902659,18
0093/00936447,5
0048/00481135,10
0098/00989670,4
0060/00602187,4
0026/00268618,2
0048/00484860,4
0005/00057615,4
0014/00142365,4
0058/00588620,6
0062/00621905,2
0083/00834914,1
0040/00401526,4
0019/00194133,11
0008/00082889,20
0037/00375697,12
0013/00135909,1
0080/00803532,14
0003/00033097,1
0042/00429426,4
0074/00749675,24
0089/00897452,9
0058/00586771,4
0092/00925006,4
0017/00179187,8
0008/00088874,21
0014/00140150,21
0055/00552822,11
0010/00101525,12
0075/00754552,14
0008/00083311,12
0099/00996643,2
0047/00472605,34
0093/00932303,4
0009/00095135,12
0055/00558399,8
0061/00612381,8
0040/00404839,4
0067/00675579,3
0037/00379132,4
0070/00708522,4
0087/00874499,4
0072/00722085,3
0049/00494143,10
0087/00876180,6
0042/00423717,17
0074/00744072,12
0026/00268022,11
0078/00786827,8
0093/00938160,6
0030/00302182,7
0058/00586093,8
0068/00685474,8
0004/00046821,14
0074/00740003,3
0016/00161135,10
0089/00894610,8
0063/00637602,1
0098/00983150,5
0086/00861014,8
0006/00069996,4
0001/00019731,4
0023/00233519,4
0044/00448158,12
0007/00073096,1
0046/00464618,12
0063/00634977,6
0007/00074579,26
0020/00202894,12
0028/00280078,8
0048/00484062,6
0016/00161435,10
